str,slowo
kurwa,kurwa
kurwy,kurwa
kurwie,kurwa
kurwe,kurwa
kurwę,kurwa
pierdole,pierdolić
pierdolę,pierdolić
pierdoli,pierdolić
pierdola,pierdolić
pierdolą,pierdolić
dupa,dupa
dupy,dupa
dupie,dupa
huj,chuj
chuj,chuj
huja,chuj
chuja,chuj
huju,chuj
chuju,chuj
chujowy,chuj
chujowe,chuj
chujowa,chuj
hujowy,chuj
hujowe,chuj
hujowa,chuj
zjebał,zjebać
zjebal,zjebać
zjebali,zjebać
zajebał,zjebać
zajebal,zjebać
zjebane,zjebać
zjebany,zjebać
zjeby,jebać
jebał,jebać
jebal,jebać
jebać,jebać
jebac,jebać
jebany,jebać
jebana,jebać
spierdolił,spierdolić
spierdolili,spierdolić
spierdoliła,spierdolić
wpierdol,wpierdolić
wpierdoli,wpierdolić
wpierdolił,wpierdolić
wpierdolil,wpierdolić
