"iso","country"
"ARG","Argentina"
"AUS","Australia"
"BEL","Belgium"
"BRA","Brazil"
"COL","Colombia"
"CRC","Costa Rica"
"CRO","Croatia"
"DEN","Denmark"
"EGY","Egypt"
"ENG","England"
"FRA","France"
"GER","Germany"
"ISL","Iceland"
"IRN","Iran"
"JPN","Japan"
"KOR","Korea Republic"
"MEX","Mexico"
"MAR","Morocco"
"NGA","Nigeria"
"PAN","Panama"
"PER","Peru"
"POL","Poland"
"POR","Portugal"
"RUS","Russia"
"KSA","Saudi Arabia"
"SEN","Senegal"
"SRB","Serbia"
"ESP","Spain"
"SWE","Sweden"
"SUI","Switzerland"
"TUN","Tunisia"
"URU","Uruguay"
